time,joy_delta,joy_speed,lqg_delta,lqg_speed,lqg_e_cg,lqg_e_cg_dot,lqg_theta_e,lqg_theta_e_dot,lqg_e_cg_hat,lqg_e_cg_dot_hat,lqg_theta_e_hat,lqg_theta_e_dot_hat,yaw,yaw_rate,vx,vy
62.42,0.0,0.0,-0.07,1.849,-0.117,0.003,0.031,-0.603,-0.116,0.025,0.113,0.077,-2.651,-0.0,0.1,0.0
62.47,0.0,0.0,-0.075,1.822,-0.117,0.003,0.031,0.0,-0.117,0.025,0.116,0.076,-2.672,-0.0,0.1,0.0
62.515,0.0,0.0,-0.078,1.812,-0.119,0.006,0.057,0.518,-0.118,0.025,0.119,0.074,-2.678,-0.0,0.1,0.0
62.553,0.0,0.0,-0.079,1.807,-0.119,0.006,0.057,0.0,-0.117,0.025,0.124,0.073,-2.707,-0.0,0.1,0.0
62.65,0.0,0.0,-0.086,1.777,-0.12,0.003,0.031,-0.518,-0.12,0.026,0.129,0.076,-2.712,-0.0,0.1,0.0
62.773,0.0,0.0,-0.093,1.746,-0.119,-0.001,-0.009,-0.808,-0.117,0.03,0.141,0.091,-2.696,-0.0,0.1,0.0
62.828,0.0,0.0,-0.121,1.618,-0.116,0.007,0.07,1.578,-0.113,0.032,0.151,0.096,-2.678,-0.0,0.1,0.0
62.912,0.0,0.0,-0.142,1.522,-0.117,-0.0,-0.004,-1.488,-0.117,0.037,0.17,0.113,-2.689,-0.0,0.1,0.0
62.943,0.0,0.0,-0.176,1.372,-0.117,-0.0,-0.004,0.0,-0.115,0.045,0.2,0.14,-2.686,-0.0,0.1,0.0
63.008,0.0,0.0,-0.236,1.1,-0.118,0.001,0.013,0.358,-0.117,0.055,0.241,0.173,-2.677,-0.0,0.1,0.0
63.117,0.0,0.0,-0.311,0.762,-0.119,0.001,0.014,0.003,-0.117,0.071,0.311,0.228,-2.675,-0.0,0.1,0.0
63.142,0.0,0.0,-0.443,0.363,-0.119,0.001,0.014,0.0,-0.115,0.106,0.454,0.341,-2.701,-0.0,0.1,0.0
63.272,0.0,0.0,-0.714,0.363,-0.117,0.002,0.022,0.176,-0.108,0.207,0.875,0.674,-2.68,-0.0,0.1,0.0
63.311,0.0,0.0,-1.513,0.363,-0.118,-0.0,-0.004,-0.537,0.219,9.232,38.655,30.363,-2.677,-0.0,0.1,0.0
63.356,0.0,0.0,-72.751,0.363,-0.118,-0.0,-0.004,0.0,-0.126,-0.223,-0.925,-0.737,-2.696,-0.0,0.1,0.0
63.404,0.0,0.0,1.881,0.363,-0.121,-0.001,-0.009,-0.09,-0.126,-0.112,-0.463,-0.373,-2.68,-0.0,0.1,0.0
63.449,0.0,0.0,1.014,0.363,-0.121,-0.001,-0.009,0.0,-0.123,-0.076,-0.314,-0.254,-2.695,-0.0,0.1,0.0
63.536,0.0,0.0,0.731,0.363,-0.12,0.0,-0.0,0.18,-0.122,-0.058,-0.239,-0.193,-2.698,-0.0,0.1,0.0
63.58,0.0,0.0,0.586,0.363,-0.12,-0.006,-0.056,-1.117,-0.123,-0.049,-0.207,-0.161,-2.683,-0.0,0.1,0.0
63.652,0.0,0.0,0.523,0.363,-0.12,-0.006,-0.056,0.0,-0.122,-0.043,-0.186,-0.138,-2.671,-0.0,0.1,0.0
63.703,0.0,0.0,0.479,0.363,-0.115,0.0,0.004,1.207,-0.114,-0.037,-0.163,-0.117,-2.664,-0.0,0.1,0.0
63.726,0.0,0.0,0.425,0.363,-0.115,0.0,0.004,0.0,-0.117,-0.033,-0.146,-0.107,-2.68,-0.0,0.1,0.0
63.803,0.0,0.0,0.398,0.373,-0.118,0.001,0.013,0.179,-0.12,-0.031,-0.132,-0.101,-2.663,-0.0,0.1,0.0
63.864,0.0,0.0,0.379,0.457,-0.118,0.001,0.013,0.0,-0.119,-0.029,-0.122,-0.094,-2.691,-0.0,0.1,0.0
63.97,0.0,0.0,0.359,0.546,-0.118,0.0,0.005,-0.178,-0.119,-0.028,-0.115,-0.09,-2.679,-0.0,0.1,0.0
63.995,0.0,0.0,0.348,0.596,-0.119,0.007,0.068,1.262,-0.121,-0.027,-0.106,-0.092,-2.682,-0.0,0.1,0.0
64.046,0.0,0.0,0.338,0.641,-0.119,0.007,0.068,0.0,-0.12,-0.026,-0.099,-0.093,-2.696,-0.0,0.1,0.0
64.096,0.0,0.0,0.329,0.681,-0.117,0.003,0.027,-0.819,-0.117,-0.025,-0.097,-0.09,-2.677,-0.0,0.1,0.0
64.219,0.0,0.0,0.319,0.725,-0.116,-0.0,-0.004,-0.624,-0.118,-0.025,-0.097,-0.088,-2.668,-0.0,0.1,0.0
64.294,0.0,0.0,0.32,0.721,-0.116,-0.0,-0.004,0.0,-0.117,-0.025,-0.098,-0.087,-2.689,-0.0,0.1,0.0
64.371,0.0,0.0,0.321,0.719,-0.119,0.004,0.036,0.807,-0.121,-0.027,-0.101,-0.094,-2.675,-0.0,0.1,0.0
64.406,0.0,0.0,0.334,0.662,-0.12,0.014,0.139,2.072,-0.121,-0.03,-0.104,-0.111,-2.705,-0.0,0.1,0.0
64.494,0.0,0.0,0.349,0.591,-0.12,-0.0,-0.004,-2.879,-0.121,-0.031,-0.11,-0.11,-2.715,-0.0,0.1,0.0
64.541,0.0,0.0,0.356,0.56,-0.12,-0.0,-0.004,0.0,-0.121,-0.032,-0.117,-0.113,-2.724,-0.0,0.1,0.0
64.565,0.0,0.0,0.368,0.507,-0.121,0.0,0.005,0.18,-0.123,-0.034,-0.128,-0.119,-2.724,-0.0,0.1,0.0
64.604,0.0,0.0,0.388,0.416,-0.121,0.0,0.005,0.0,-0.122,-0.037,-0.141,-0.127,-2.713,-0.0,0.1,0.0
64.689,0.0,0.0,0.411,0.363,-0.117,-0.0,-0.004,-0.18,-0.118,-0.039,-0.157,-0.134,-2.686,-0.0,0.1,0.0
64.714,0.0,0.0,0.431,0.363,-0.117,-0.0,-0.004,0.0,-0.12,-0.045,-0.181,-0.151,-2.677,-0.0,0.1,0.0
64.797,0.0,0.0,0.478,0.363,-0.118,0.003,0.031,0.714,-0.12,-0.055,-0.221,-0.185,-2.668,-0.0,0.1,0.0
64.884,0.0,0.0,0.554,0.363,-0.118,0.003,0.031,0.0,-0.12,-0.07,-0.284,-0.237,-2.701,-0.0,0.1,0.0
64.934,0.0,0.0,0.676,0.363,-0.119,0.004,0.045,0.269,-0.123,-0.1,-0.404,-0.335,-2.688,-0.0,0.1,0.0
64.996,0.0,0.0,0.905,0.363,-0.121,-0.0,-0.004,-0.983,-0.127,-0.157,-0.645,-0.523,-2.688,-0.0,0.1,0.0
65.058,0.0,0.0,1.363,0.363,-0.121,-0.0,-0.004,0.0,-0.135,-0.394,-1.638,-1.3,-2.713,-0.0,0.1,0.0
65.094,0.0,0.0,3.232,0.363,-0.12,-0.0,-0.004,0.0,-0.094,0.688,2.886,2.258,-2.688,-0.0,0.1,0.0
65.225,0.0,0.0,-5.302,0.363,-0.12,-0.0,-0.004,0.0,-0.114,0.181,0.764,0.592,-2.68,-0.0,0.1,0.0
65.294,0.0,0.0,-1.301,0.363,-0.12,0.003,0.027,0.633,-0.116,0.107,0.455,0.348,-2.664,-0.0,0.1,0.0
65.363,0.0,0.0,-0.719,0.363,-0.12,0.003,0.027,0.0,-0.118,0.077,0.332,0.249,-2.686,-0.0,0.1,0.0
65.46,0.0,0.0,-0.484,0.363,-0.118,0.003,0.027,0.0,-0.115,0.061,0.265,0.197,-2.668,-0.0,0.1,0.0
65.531,0.0,0.0,-0.363,0.53,-0.116,0.008,0.082,1.106,-0.114,0.053,0.237,0.167,-2.666,-0.0,0.1,0.0
65.571,0.0,0.0,-0.305,0.79,-0.117,0.005,0.049,-0.674,-0.116,0.046,0.212,0.144,-2.671,-0.0,0.1,0.0
65.59,0.0,0.0,-0.254,1.021,-0.117,0.005,0.049,0.0,-0.115,0.042,0.194,0.128,-2.662,-0.0,0.1,0.0
65.699,0.0,0.0,-0.22,1.173,-0.117,0.003,0.031,-0.347,-0.116,0.038,0.179,0.116,-2.656,-0.0,0.1,0.0
65.801,0.0,0.0,-0.191,1.304,-0.119,0.0,-0.0,-0.628,-0.118,0.035,0.165,0.107,-2.629,-0.0,0.1,0.0
65.962,0.0,0.0,-0.162,1.432,-0.118,-0.002,-0.023,-0.451,-0.116,0.034,0.152,0.103,-2.653,-0.0,0.1,0.0
66.023,0.0,0.0,-0.145,1.51,-0.118,0.007,0.072,1.884,-0.116,0.032,0.15,0.096,-2.651,-0.0,0.1,0.0
66.077,0.0,0.0,-0.137,1.544,-0.116,-0.0,-0.004,-1.522,-0.115,0.031,0.144,0.096,-2.648,-0.0,0.1,0.0
66.129,0.0,0.0,-0.131,1.573,-0.116,-0.0,-0.004,0.0,-0.115,0.031,0.139,0.095,-2.654,-0.0,0.1,0.0
66.179,0.0,0.0,-0.124,1.605,-0.118,0.003,0.027,0.624,-0.118,0.03,0.138,0.092,-2.658,-0.0,0.1,0.0
66.217,0.0,0.0,-0.117,1.636,-0.118,0.003,0.027,0.0,-0.117,0.03,0.138,0.092,-2.672,-0.0,0.1,0.0
66.254,0.0,0.0,-0.119,1.628,-0.118,0.003,0.027,0.0,-0.117,0.03,0.14,0.092,-2.664,-0.0,0.1,0.0
66.366,0.0,0.0,-0.12,1.62,-0.117,0.009,0.087,1.215,-0.115,0.03,0.144,0.088,-2.686,-0.0,0.1,0.0
66.388,0.0,0.0,-0.125,1.598,-0.118,0.003,0.03,-1.144,-0.117,0.031,0.147,0.09,-2.672,-0.0,0.1,0.0
66.499,0.0,0.0,-0.13,1.579,-0.12,0.005,0.054,0.47,-0.119,0.031,0.153,0.091,-2.67,-0.0,0.1,0.0
66.636,0.0,0.0,-0.134,1.558,-0.117,0.001,0.013,-0.807,-0.115,0.034,0.162,0.103,-2.675,-0.0,0.1,0.0
66.659,0.0,0.0,-0.16,1.442,-0.117,0.0,0.004,-0.179,-0.117,0.037,0.173,0.114,-2.678,-0.0,0.1,0.0
66.692,0.0,0.0,-0.181,1.349,-0.117,0.0,0.004,0.0,-0.116,0.042,0.19,0.13,-2.673,-0.0,0.1,0.0
66.816,0.0,0.0,-0.215,1.193,-0.118,0.006,0.062,1.142,-0.116,0.045,0.208,0.139,-2.696,-0.0,0.1,0.0
66.844,0.0,0.0,-0.245,1.061,-0.118,0.006,0.062,0.0,-0.116,0.051,0.233,0.155,-2.715,-0.0,0.1,0.0
66.95,0.0,0.0,-0.29,0.858,-0.119,0.006,0.058,-0.069,-0.118,0.059,0.27,0.18,-2.716,-0.0,0.1,0.0
66.972,0.0,0.0,-0.354,0.57,-0.119,0.003,0.027,-0.619,-0.115,0.076,0.34,0.237,-2.706,-0.0,0.1,0.0
67.042,0.0,0.0,-0.49,0.363,-0.119,0.003,0.027,0.0,-0.115,0.108,0.473,0.343,-2.702,-0.0,0.1,0.0
67.06,0.0,0.0,-0.741,0.363,-0.117,0.009,0.091,1.275,-0.11,0.18,0.777,0.576,-2.703,-0.0,0.1,0.0
67.215,0.0,0.0,-1.313,0.363,-0.122,0.002,0.018,-1.461,-0.092,0.876,3.693,2.867,-2.693,-0.0,0.1,0.0
67.258,0.0,0.0,-6.802,0.363,-0.122,0.002,0.018,0.0,-0.132,-0.305,-1.252,-1.015,-2.695,-0.0,0.1,0.0
67.295,0.0,0.0,2.516,0.363,-0.119,-0.0,-0.004,-0.447,-0.123,-0.134,-0.543,-0.451,-2.693,-0.0,0.1,0.0
67.394,0.0,0.0,1.171,0.363,-0.117,0.005,0.053,1.147,-0.119,-0.083,-0.329,-0.284,-2.689,-0.0,0.1,0.0
67.506,0.0,0.0,0.766,0.363,-0.119,0.003,0.027,-0.514,-0.123,-0.061,-0.236,-0.213,-2.684,-0.0,0.1,0.0
67.624,0.0,0.0,0.598,0.363,-0.12,0.0,0.005,-0.453,-0.122,-0.05,-0.19,-0.173,-2.687,-0.0,0.1,0.0
67.664,0.0,0.0,0.507,0.363,-0.12,0.0,0.005,0.0,-0.122,-0.042,-0.16,-0.147,-2.674,-0.0,0.1,0.0
67.698,0.0,0.0,0.45,0.363,-0.119,-0.0,-0.004,-0.18,-0.119,-0.037,-0.142,-0.128,-2.657,-0.0,0.1,0.0
67.799,0.0,0.0,0.409,0.363,-0.12,0.004,0.041,0.907,-0.122,-0.033,-0.122,-0.116,-2.655,-0.0,0.1,0.0
67.915,0.0,0.0,0.377,0.467,-0.117,0.004,0.045,0.076,-0.117,-0.029,-0.107,-0.104,-2.67,-0.0,0.1,0.0
67.957,0.0,0.0,0.343,0.618,-0.117,0.004,0.045,0.0,-0.119,-0.027,-0.096,-0.098,-2.674,-0.0,0.1,0.0
68.003,0.0,0.0,0.327,0.692,-0.119,0.0,-0.0,-0.893,-0.12,-0.026,-0.092,-0.092,-2.664,-0.0,0.1,0.0
68.121,0.0,0.0,0.319,0.729,-0.12,0.001,0.009,0.181,-0.121,-0.025,-0.088,-0.089,-2.665,-0.0,0.1,0.0
68.141,0.0,0.0,0.313,0.755,-0.12,0.001,0.009,0.0,-0.121,-0.024,-0.086,-0.085,-2.669,-0.0,0.1,0.0
68.277,0.0,0.0,0.307,0.783,-0.116,0.001,0.009,-0.001,-0.116,-0.022,-0.084,-0.079,-2.655,-0.0,0.1,0.0
68.328,0.0,0.0,0.295,0.836,-0.116,0.001,0.009,0.0,-0.118,-0.022,-0.084,-0.079,-2.665,-0.0,0.1,0.0
68.382,0.0,0.0,0.297,0.827,-0.117,0.005,0.054,0.896,-0.117,-0.023,-0.084,-0.083,-2.661,-0.0,0.1,0.0
68.417,0.0,0.0,0.298,0.821,-0.117,0.005,0.054,0.0,-0.117,-0.024,-0.085,-0.088,-2.678,-0.0,0.1,0.0
68.472,0.0,0.0,0.303,0.798,-0.117,0.005,0.054,0.0,-0.117,-0.025,-0.088,-0.093,-2.665,-0.0,0.1,0.0
68.496,0.0,0.0,0.311,0.763,-0.12,0.002,0.018,-0.718,-0.122,-0.027,-0.093,-0.099,-2.656,-0.0,0.1,0.0
68.616,0.0,0.0,0.327,0.689,-0.12,0.0,-0.0,-0.357,-0.12,-0.027,-0.099,-0.099,-2.681,-0.0,0.1,0.0
68.65,0.0,0.0,0.334,0.662,-0.12,0.0,-0.0,0.0,-0.121,-0.029,-0.107,-0.103,-2.664,-0.0,0.1,0.0
68.761,0.0,0.0,0.348,0.597,-0.12,-0.0,-0.004,-0.09,-0.122,-0.031,-0.118,-0.108,-2.656,-0.0,0.1,0.0
68.784,0.0,0.0,0.366,0.515,-0.117,0.004,0.036,0.816,-0.118,-0.034,-0.134,-0.12,-2.654,-0.0,0.1,0.0
68.91,0.0,0.0,0.391,0.404,-0.118,0.004,0.045,0.167,-0.12,-0.041,-0.159,-0.144,-2.668,-0.0,0.1,0.0
68.929,0.0,0.0,0.443,0.363,-0.118,0.004,0.045,0.0,-0.119,-0.05,-0.195,-0.174,-2.686,-0.0,0.1,0.0
69.021,0.0,0.0,0.511,0.363,-0.118,0.003,0.027,-0.349,-0.12,-0.063,-0.247,-0.216,-2.714,-0.0,0.1,0.0
69.08,0.0,0.0,0.611,0.363,-0.118,0.003,0.027,0.0,-0.121,-0.085,-0.338,-0.287,-2.706,-0.0,0.1,0.0
69.146,0.0,0.0,0.783,0.363,-0.117,-0.0,-0.004,-0.633,-0.122,-0.126,-0.513,-0.421,-2.725,-0.0,0.1,0.0
69.172,0.0,0.0,1.109,0.363,-0.12,0.001,0.009,0.269,-0.13,-0.269,-1.111,-0.891,-2.702,-0.0,0.1,0.0
69.23,0.0,0.0,2.242,0.363,-0.12,0.001,0.009,0.0,-0.053,1.815,7.609,5.964,-2.709,-0.0,0.1,0.0
69.285,0.0,0.0,-14.206,0.363,-0.118,0.0,-0.0,-0.179,-0.109,0.204,0.863,0.666,-2.695,-0.0,0.1,0.0
69.312,0.0,0.0,-1.489,0.363,-0.118,0.0,-0.0,0.0,-0.114,0.108,0.46,0.351,-2.704,-0.0,0.1,0.0
69.35,0.0,0.0,-0.73,0.363,-0.118,0.0,-0.0,0.0,-0.115,0.074,0.315,0.239,-2.685,-0.0,0.1,0.0
69.407,0.0,0.0,-0.459,0.363,-0.115,0.0,-0.0,0.0,-0.112,0.057,0.241,0.184,-2.684,-0.0,0.1,0.0
69.523,0.0,0.0,-0.325,0.7,-0.117,0.006,0.062,1.232,-0.116,0.048,0.211,0.152,-2.711,-0.0,0.1,0.0
69.555,0.0,0.0,-0.258,1.0,-0.117,0.006,0.062,0.0,-0.115,0.042,0.191,0.132,-2.693,-0.0,0.1,0.0
69.582,0.0,0.0,-0.219,1.177,-0.12,-0.0,-0.004,-1.321,-0.12,0.036,0.167,0.113,-2.688,-0.0,0.1,0.0
69.695,0.0,0.0,-0.168,1.406,-0.117,0.003,0.027,0.624,-0.114,0.034,0.154,0.105,-2.684,-0.0,0.1,0.0
69.807,0.0,0.0,-0.152,1.48,-0.117,0.003,0.027,0.0,-0.116,0.031,0.144,0.096,-2.692,-0.0,0.1,0.0
69.923,0.0,0.0,-0.13,1.578,-0.12,0.003,0.031,0.094,-0.119,0.029,0.137,0.088,-2.709,-0.0,0.1,0.0
69.972,0.0,0.0,-0.111,1.661,-0.12,0.003,0.031,0.0,-0.118,0.028,0.132,0.083,-2.693,-0.0,0.1,0.0
70.007,0.0,0.0,-0.103,1.697,-0.121,0.003,0.031,-0.005,-0.12,0.027,0.129,0.079,-2.711,-0.0,0.1,0.0
70.117,0.0,0.0,-0.093,1.745,-0.116,0.003,0.027,-0.09,-0.114,0.027,0.127,0.081,-2.708,-0.0,0.1,0.0
70.15,0.0,0.0,-0.099,1.715,-0.116,0.003,0.027,0.0,-0.116,0.026,0.125,0.078,-2.686,-0.0,0.1,0.0
70.192,0.0,0.0,-0.092,1.747,-0.116,0.004,0.04,0.263,-0.115,0.026,0.126,0.077,-2.678,-0.0,0.1,0.0
70.249,0.0,0.0,-0.093,1.742,-0.116,0.004,0.04,0.0,-0.116,0.026,0.127,0.076,-2.667,-0.0,0.1,0.0
70.288,0.0,0.0,-0.094,1.739,-0.113,0.004,0.04,0.0,-0.111,0.027,0.13,0.08,-2.672,-0.0,0.1,0.0
70.369,0.0,0.0,-0.106,1.686,-0.113,0.004,0.04,0.0,-0.113,0.027,0.133,0.08,-2.669,-0.0,0.1,0.0
70.444,0.0,0.0,-0.108,1.677,-0.117,-0.0,-0.004,-0.887,-0.117,0.029,0.137,0.085,-2.698,-0.0,0.1,0.0
70.478,0.0,0.0,-0.112,1.658,-0.119,0.002,0.022,0.537,-0.118,0.03,0.144,0.09,-2.715,-0.0,0.1,0.0
70.518,0.0,0.0,-0.123,1.61,-0.119,0.002,0.022,0.0,-0.118,0.033,0.153,0.098,-2.706,-0.0,0.1,0.0
70.555,0.0,0.0,-0.142,1.525,-0.119,0.002,0.022,0.0,-0.118,0.036,0.165,0.108,-2.69,-0.0,0.1,0.0
70.597,0.0,0.0,-0.165,1.418,-0.118,-0.0,-0.004,-0.537,-0.117,0.041,0.185,0.128,-2.712,-0.0,0.1,0.0
70.716,0.0,0.0,-0.207,1.232,-0.119,0.004,0.045,0.989,-0.117,0.046,0.208,0.142,-2.701,-0.0,0.1,0.0
70.745,0.0,0.0,-0.245,1.058,-0.119,0.004,0.045,0.0,-0.117,0.053,0.241,0.166,-2.679,-0.0,0.1,0.0
70.859,0.0,0.0,-0.307,0.781,-0.12,0.01,0.1,1.099,-0.118,0.061,0.28,0.188,-2.68,-0.0,0.1,0.0
70.894,0.0,0.0,-0.373,0.486,-0.121,0.003,0.027,-1.455,-0.118,0.084,0.377,0.265,-2.701,-0.0,0.1,0.0
71.004,0.0,0.0,-0.556,0.363,-0.117,0.004,0.045,0.349,-0.11,0.139,0.601,0.444,-2.707,-0.0,0.1,0.0
71.029,0.0,0.0,-0.987,0.363,-0.117,0.004,0.045,0.0,-0.102,0.408,1.729,1.328,-2.687,-0.0,0.1,0.0
71.14,0.0,0.0,-3.109,0.363,-0.117,0.004,0.045,0.007,-0.131,-0.379,-1.562,-1.258,-2.683,-0.0,0.1,0.0
71.27,0.0,0.0,3.095,0.363,-0.118,0.005,0.053,0.158,-0.123,-0.124,-0.494,-0.422,-2.667,-0.0,0.1,0.0
71.303,0.0,0.0,1.085,0.363,-0.118,-0.0,-0.004,-1.147,-0.121,-0.077,-0.303,-0.267,-2.674,-0.0,0.1,0.0
71.425,0.0,0.0,0.722,0.363,-0.116,0.006,0.058,1.253,-0.118,-0.054,-0.203,-0.189,-2.658,-0.0,0.1,0.0
71.461,0.0,0.0,0.531,0.363,-0.118,0.005,0.053,-0.095,-0.12,-0.041,-0.148,-0.15,-2.664,-0.0,0.1,0.0
71.537,0.0,0.0,0.434,0.363,-0.118,0.005,0.053,0.0,-0.119,-0.033,-0.114,-0.124,-2.673,-0.0,0.1,0.0
71.572,0.0,0.0,0.369,0.501,-0.117,0.004,0.044,-0.183,-0.118,-0.028,-0.093,-0.107,-2.68,-0.0,0.1,0.0
71.595,0.0,0.0,0.328,0.687,-0.117,0.004,0.044,0.0,-0.118,-0.025,-0.078,-0.096,-2.701,-0.0,0.1,0.0
71.719,0.0,0.0,0.3,0.811,-0.118,0.003,0.031,-0.256,-0.119,-0.022,-0.069,-0.088,-2.68,-0.0,0.1,0.0
71.76,0.0,0.0,0.283,0.888,-0.118,0.003,0.031,0.0,-0.118,-0.021,-0.062,-0.081,-2.668,-0.0,0.1,0.0
71.798,0.0,0.0,0.269,0.952,-0.119,-0.001,-0.014,-0.901,-0.12,-0.019,-0.061,-0.075,-2.678,-0.0,0.1,0.0
71.916,0.0,0.0,0.266,0.964,-0.12,0.002,0.018,0.631,-0.121,-0.019,-0.059,-0.072,-2.682,-0.0,0.1,0.0
71.943,0.0,0.0,0.262,0.985,-0.12,0.002,0.018,0.0,-0.121,-0.018,-0.057,-0.069,-2.675,-0.0,0.1,0.0
72.059,0.0,0.0,0.256,1.009,-0.117,0.003,0.027,0.176,-0.117,-0.017,-0.055,-0.065,-2.672,-0.0,0.1,0.0
72.094,0.0,0.0,0.246,1.054,-0.118,-0.0,-0.004,-0.624,-0.119,-0.017,-0.056,-0.063,-2.68,-0.0,0.1,0.0
72.218,0.0,0.0,0.249,1.043,-0.117,0.0,-0.0,0.09,-0.117,-0.016,-0.056,-0.059,-2.668,-0.0,0.1,0.0
72.243,0.0,0.0,0.245,1.06,-0.117,0.0,-0.0,0.0,-0.118,-0.016,-0.058,-0.059,-2.681,-0.0,0.1,0.0
72.352,0.0,0.0,0.248,1.047,-0.12,-0.0,-0.004,-0.09,-0.121,-0.017,-0.061,-0.06,-2.66,-0.0,0.1,0.0
72.464,0.0,0.0,0.257,1.007,-0.122,-0.0,-0.004,0.0,-0.123,-0.017,-0.064,-0.061,-2.716,-0.0,0.1,0.0
72.494,0.0,0.0,0.264,0.976,-0.117,0.009,0.091,1.914,-0.116,-0.019,-0.068,-0.07,-2.725,-0.0,0.1,0.0
72.6,0.0,0.0,0.266,0.966,-0.114,0.003,0.027,-1.29,-0.114,-0.02,-0.074,-0.074,-2.716,-0.0,0.1,0.0
72.705,0.0,0.0,0.275,0.925,-0.118,0.001,0.009,-0.355,-0.12,-0.023,-0.083,-0.083,-2.707,-0.0,0.1,0.0
72.806,0.0,0.0,0.301,0.81,-0.12,-0.001,-0.009,-0.359,-0.121,-0.025,-0.092,-0.087,-2.691,-0.0,0.1,0.0
72.898,0.0,0.0,0.316,0.741,-0.118,0.003,0.027,0.715,-0.118,-0.028,-0.106,-0.098,-2.72,-0.0,0.1,0.0
73.002,0.0,0.0,0.339,0.637,-0.118,0.008,0.084,1.152,-0.12,-0.037,-0.137,-0.131,-2.705,-0.0,0.1,0.0
73.097,0.0,0.0,0.406,0.363,-0.117,0.002,0.023,-1.233,-0.118,-0.045,-0.172,-0.157,-2.703,-0.0,0.1,0.0
73.211,0.0,0.0,0.468,0.363,-0.121,-0.002,-0.018,-0.813,-0.125,-0.057,-0.224,-0.195,-2.699,-0.0,0.1,0.0
73.253,0.0,0.0,0.571,0.363,-0.121,-0.002,-0.018,0.0,-0.123,-0.078,-0.318,-0.264,-2.69,-0.0,0.1,0.0
73.426,0.0,0.0,0.743,0.363,-0.118,0.009,0.086,2.081,-0.123,-0.164,-0.674,-0.549,-2.675,-0.0,0.1,0.0
73.487,0.0,0.0,1.414,0.363,-0.117,0.0,0.005,-1.63,-0.179,-1.712,-7.153,-5.638,-2.692,-0.0,0.1,0.0
73.52,0.0,0.0,13.629,0.363,-0.117,0.0,0.005,0.0,-0.109,0.198,0.839,0.645,-2.7,-0.0,0.1,0.0
73.548,0.0,0.0,-1.444,0.363,-0.117,0.0,0.005,0.0,-0.113,0.093,0.4,0.301,-2.693,-0.0,0.1,0.0
73.684,0.0,0.0,-0.617,0.363,-0.118,0.0,-0.0,-0.09,-0.116,0.061,0.265,0.195,-2.691,-0.0,0.1,0.0
73.724,0.0,0.0,-0.359,0.548,-0.119,-0.002,-0.018,-0.361,-0.118,0.045,0.194,0.143,-2.693,-0.0,0.1,0.0
73.757,0.0,0.0,-0.226,1.144,-0.119,-0.002,-0.018,0.0,-0.118,0.035,0.152,0.114,-2.679,-0.0,0.1,0.0
73.85,0.0,0.0,-0.151,1.484,-0.121,0.001,0.014,0.632,-0.12,0.03,0.131,0.096,-2.662,-0.0,0.1,0.0
73.96,0.0,0.0,-0.108,1.678,-0.118,0.001,0.009,-0.09,-0.115,0.027,0.116,0.087,-2.705,-0.0,0.1,0.0
73.998,0.0,0.0,-0.087,1.769,-0.121,0.005,0.054,0.894,-0.122,0.024,0.112,0.074,-2.728,-0.0,0.1,0.0
74.093,0.0,0.0,-0.064,1.875,-0.12,0.007,0.074,0.4,-0.118,0.023,0.111,0.069,-2.709,-0.0,0.1,0.0
74.194,0.0,0.0,-0.065,1.871,-0.119,-0.0,-0.004,-1.565,-0.119,0.022,0.102,0.065,-2.731,-0.0,0.1,0.0
74.31,0.0,0.0,-0.049,1.94,-0.117,0.007,0.066,1.407,-0.116,0.021,0.102,0.061,-2.689,-0.0,0.1,0.0
74.345,0.0,0.0,-0.05,1.935,-0.117,0.007,0.066,0.0,-0.117,0.02,0.102,0.055,-2.677,-0.0,0.1,0.0
74.429,0.0,0.0,-0.045,1.959,-0.118,0.002,0.018,-0.958,-0.118,0.019,0.099,0.054,-2.724,-0.0,0.1,0.0
74.449,0.0,0.0,-0.039,1.987,-0.117,-0.0,-0.004,-0.449,-0.116,0.02,0.096,0.057,-2.719,-0.0,0.1,0.0
74.484,0.0,0.0,-0.04,1.981,-0.117,-0.0,-0.004,0.0,-0.116,0.02,0.095,0.059,-2.734,-0.0,0.1,0.0
74.585,0.0,0.0,-0.038,1.991,-0.119,-0.0,-0.004,0.0,-0.119,0.02,0.094,0.06,-2.733,-0.0,0.1,0.0
74.613,0.0,0.0,-0.035,2.0,-0.119,-0.0,-0.004,0.0,-0.118,0.021,0.095,0.064,-2.722,-0.0,0.1,0.0
74.643,0.0,0.0,-0.041,1.979,-0.119,-0.0,-0.004,0.0,-0.118,0.022,0.098,0.067,-2.706,-0.0,0.1,0.0
74.775,0.0,0.0,-0.046,1.955,-0.117,-0.0,-0.004,-0.0,-0.115,0.023,0.102,0.074,-2.71,-0.0,0.1,0.0
74.799,0.0,0.0,-0.06,1.894,-0.117,-0.0,-0.004,0.0,-0.116,0.025,0.107,0.079,-2.693,-0.0,0.1,0.0
74.913,0.0,0.0,-0.069,1.85,-0.12,-0.006,-0.056,-1.027,-0.12,0.028,0.116,0.091,-2.719,-0.0,0.1,0.0
74.946,0.0,0.0,-0.085,1.781,-0.12,-0.006,-0.056,0.0,-0.119,0.033,0.131,0.11,-2.71,-0.0,0.1,0.0
75.05,0.0,0.0,-0.119,1.626,-0.12,-0.006,-0.06,-0.091,-0.118,0.039,0.152,0.132,-2.697,-0.0,0.1,0.0
